event_type,event_cause,requires_road_closure,zone,latitude,longitude,hour,day,month,weekday,weekofyear,Risk_Probability,Risk_Score,Risk_Category,Congestion_Score,Estimated_Delay_Minutes,Police_Personnel,Barricades,Diversion_Routes
7704,638,0,4728,13.0278942,77.5418886,5.0,1.0,4.0,0.0,14,0.9411794738793661,94.12,High,84.70800000000001,55,8,10,2
7704,458,0,4728,13.0440977,77.5543926,6.0,6.0,4.0,5.0,14,0.9671207535700652,96.71,High,87.039,57,12,15,4
7704,638,0,4728,12.9514992,77.5908785,8.0,12.0,2.0,0.0,7,0.03483070519577511,3.48,Low,3.132,6,2,2,0
7704,4894,0,358,12.95620419,77.5484401,20.0,8.0,12.0,4.0,49,0.9851656271353295,98.52,High,88.66799999999999,58,12,15,4
7704,4894,0,318,13.029057,77.6318213,1.0,16.0,1.0,1.0,3,0.9639345785227601,96.39,High,86.751,57,12,15,4
7704,4894,0,623,12.9635933,77.58495,22.0,25.0,11.0,5.0,47,0.9834271608311789,98.34,High,88.506,58,12,15,4
7704,4894,1,4728,12.95713835,77.56971817,3.0,11.0,2.0,6.0,6,0.03619104675574924,3.62,Low,13.258,12,2,2,0
7704,4894,0,4728,12.9615183,77.5606438,6.0,28.0,3.0,3.0,13,0.9570256179645541,95.7,High,86.13000000000001,56,12,15,4
7704,4894,0,432,12.9889819,77.5002871,4.0,9.0,1.0,1.0,2,0.9754344737492644,97.54,High,87.786,57,12,15,4
7704,4894,0,4728,12.92227542,77.61942577,6.0,3.0,2.0,5.0,5,0.9584686417744561,95.85,High,86.265,56,12,15,4
467,480,0,318,13.0409537,77.6205991,23.0,18.0,1.0,3.0,3,0.9716517960492799,97.17,High,87.453,57,12,15,4
7704,284,0,4728,12.9932986,77.5837571,20.0,7.0,3.0,3.0,10,0.9676572599643396,96.77,High,87.093,57,12,15,4
7704,458,0,4728,13.0102806,77.6978433,7.0,5.0,2.0,0.0,6,0.03066098864287183,3.07,Low,2.763,6,2,2,0
7704,4894,0,4728,13.2673624,77.7195893,19.0,7.0,3.0,3.0,10,7.170431588602341e-05,0.01,Low,0.009000000000000001,5,2,2,0
7704,458,1,4728,12.9640354,77.5822556,6.0,9.0,3.0,5.0,10,0.9838522466639776,98.39,High,98.551,64,12,15,4
7704,4894,0,623,12.973691,77.6145877,21.0,1.0,12.0,4.0,48,0.9249393915617625,92.49,High,83.241,54,8,10,2
7704,4894,0,432,12.9882997,77.5093716,2.0,8.0,12.0,4.0,49,0.9787842408485907,97.88,High,88.092,57,12,15,4
7704,4894,0,4728,12.9736801,77.6109701,6.0,19.0,3.0,1.0,12,0.939827098844803,93.98,High,84.58200000000001,55,8,10,2
7704,537,0,4728,12.9766535,77.6017105,1.0,14.0,3.0,3.0,11,0.9340316144723697,93.4,High,84.06,55,8,10,2
7704,4894,0,4728,13.0624717,77.5733483,7.0,25.0,1.0,3.0,4,0.06941801737208816,6.94,Low,6.246,8,2,2,0
467,480,0,318,13.0395748,77.6414231,2.0,25.0,12.0,0.0,52,0.9700501166912199,97.01,High,87.30900000000001,57,12,15,4
7704,458,0,4728,12.9294076,77.6004122,7.0,9.0,3.0,5.0,10,0.8786706271490338,87.87,High,79.08300000000001,52,8,10,2
7704,4894,0,233,12.9120234,77.5858065,21.0,1.0,1.0,0.0,1,0.11924923865477723,11.92,Low,10.728,11,2,2,0
467,84,1,269,12.96067984,77.6415265,21.0,1.0,12.0,4.0,48,0.8923196288945716,89.23,High,90.307,59,12,15,4
467,480,1,623,12.9743854,77.5747985,21.0,10.0,1.0,2.0,2,0.017144639495128927,1.71,Low,11.539,11,2,2,0
7704,4894,0,413,13.1125086,77.6344939,4.0,11.0,12.0,0.0,50,0.9195826820635089,91.96,High,82.764,54,8,10,2
7704,4894,0,190,13.0003798,77.6762968,20.0,8.0,12.0,4.0,49,0.9467226274166505,94.67,High,85.203,56,12,15,4
7704,4894,0,4728,12.975057,77.5524102,23.0,2.0,4.0,1.0,14,0.9472903525741846,94.73,High,85.257,56,12,15,4
7704,537,0,233,12.916748,77.5950616,21.0,17.0,1.0,2.0,3,0.08782324946972926,8.78,Low,7.901999999999999,9,2,2,0
7704,4894,0,4728,12.9591511,77.6531925,7.0,21.0,1.0,6.0,3,0.9615316078729267,96.15,High,86.53500000000001,56,12,15,4
7704,4894,0,4728,12.9669106,77.5680574,6.0,19.0,3.0,1.0,12,0.8265001990267213,82.65,High,74.385,49,8,10,2
7704,537,0,4728,12.957724,77.6059638,19.0,25.0,1.0,3.0,4,0.8780751259184107,87.81,High,79.02900000000001,52,8,10,2
7704,458,0,623,12.9837283,77.5938566,8.0,12.0,12.0,1.0,50,0.8705491544865274,87.05,High,78.345,52,8,10,2
7704,136,0,358,13.0143857,77.5837077,9.0,7.0,1.0,6.0,1,0.9841524221520384,98.42,High,88.578,58,12,15,4
7704,4894,0,4728,13.0443009,77.5563891,0.0,3.0,4.0,2.0,14,0.9680855155917742,96.81,High,87.129,57,12,15,4
7704,638,0,358,12.9757672,77.5524914,3.0,6.0,12.0,2.0,49,0.9744424511198734,97.44,High,87.696,57,12,15,4
7704,4894,0,4728,13.0234644,77.7152825,21.0,28.0,1.0,6.0,4,0.0005136768620420185,0.05,Low,0.045000000000000005,5,2,2,0
7704,284,0,4728,13.0744126,77.4380138,7.0,6.0,3.0,2.0,10,0.00036167614116731374,0.04,Low,0.036000000000000004,5,2,2,0
7704,4894,0,4728,12.9875809,77.619241,22.0,6.0,2.0,1.0,6,0.2805483225196713,28.05,Low,25.245,20,2,2,0
7704,458,0,4728,12.8966387,77.7202071,19.0,7.0,3.0,3.0,10,0.00014456069731271529,0.01,Low,0.009000000000000001,5,2,2,0
7704,4894,0,4728,12.9652817,77.7019333,19.0,5.0,2.0,0.0,6,0.9470446651801798,94.7,High,85.23,56,12,15,4
7704,638,1,4728,12.9663406,77.6070882,20.0,15.0,3.0,4.0,11,0.9486294944951901,94.86,High,95.374,62,12,15,4
7704,4894,0,4728,12.9586313,77.554831,20.0,26.0,3.0,1.0,13,0.9482422812353946,94.82,High,85.338,56,12,15,4
7704,638,0,318,13.0381428,77.6259569,21.0,18.0,11.0,5.0,46,0.9896208074011167,98.96,High,89.064,58,12,15,4
7704,4894,0,190,13.0100068,77.697073,17.0,29.0,11.0,2.0,48,0.016381738789918828,1.64,Low,1.476,5,2,2,0
7704,365,0,4728,12.8824767,77.7543172,3.0,2.0,12.0,5.0,48,6.89059436416677e-05,0.01,Low,0.009000000000000001,5,2,2,0
467,84,1,4728,12.9790814,77.6293223,8.0,15.0,3.0,3.0,12,0.7685320669171205,76.85,Medium,79.16499999999999,52,8,10,2
467,480,0,358,13.0169614,77.5604211,20.0,18.0,12.0,0.0,51,0.9002070574495217,90.02,High,81.018,53,8,10,2
7704,4894,0,4728,12.9885543,77.5086676,20.0,14.0,2.0,2.0,7,0.9798819657623448,97.99,High,88.191,57,12,15,4
7704,4894,0,233,12.8748071,77.6692195,6.0,9.0,1.0,1.0,2,0.06612031690349732,6.61,Low,5.949000000000001,8,2,2,0
7704,4894,0,269,12.9814749,77.6311345,4.0,10.0,12.0,6.0,49,0.891782449970921,89.18,High,80.26200000000001,53,8,10,2
7704,4894,0,4728,13.0961315,77.5982632,4.0,26.0,2.0,0.0,9,0.9890597699903412,98.91,High,89.019,58,12,15,4
7704,537,0,233,12.8732949,77.6249151,1.0,16.0,12.0,5.0,50,0.024849237431350993,2.48,Low,2.232,6,2,2,0
7704,284,0,4728,12.92757,77.5832051,20.0,7.0,3.0,3.0,10,0.03073907246838356,3.07,Low,2.763,6,2,2,0
7704,4894,0,4728,13.0041938,77.6837865,21.0,29.0,3.0,4.0,13,0.6771896873027635,67.72,Medium,60.948,41,4,4,1
7704,4894,0,4728,12.9877075,77.5502777,7.0,29.0,2.0,3.0,9,0.9764336397365547,97.64,High,87.876,57,12,15,4
7704,638,0,4728,12.9641078,77.5704276,21.0,24.0,3.0,6.0,12,0.9485027989243473,94.85,High,85.365,56,12,15,4
7704,4894,0,4728,12.9556816,77.7160269,4.0,17.0,2.0,5.0,7,0.9814606264527025,98.15,High,88.33500000000001,58,12,15,4
7704,4894,0,4728,13.0018933,77.6121539,20.0,19.0,1.0,4.0,3,0.12326505343381589,12.33,Low,11.097,11,2,2,0
7704,4894,1,4728,13.0030173,77.6122203,7.0,14.0,3.0,3.0,11,0.07039731251516869,7.04,Low,16.336,14,2,2,0
7704,638,0,4728,12.9848373,77.5748703,6.0,15.0,2.0,3.0,7,0.00893229034184233,0.89,Low,0.801,5,2,2,0
7704,4894,0,413,13.0199733,77.5842066,5.0,26.0,12.0,1.0,52,0.9924289663186006,99.24,High,89.316,58,12,15,4
7704,4894,0,4728,12.94217449,77.69686252,4.0,26.0,3.0,1.0,13,0.9631191729954169,96.31,High,86.679,57,12,15,4
7704,4894,0,4728,12.9485754,77.5929669,0.0,15.0,2.0,3.0,7,0.03309131215102182,3.31,Low,2.979,6,2,2,0
7704,365,0,4728,13.00121678,77.58402681,11.0,9.0,3.0,5.0,10,0.9735113424208874,97.35,High,87.615,57,12,15,4
7704,4894,0,4728,12.92115128,77.62051642,21.0,28.0,2.0,2.0,9,0.958460595906646,95.85,High,86.265,56,12,15,4
7704,284,1,4728,12.9964372,77.5846449,7.0,7.0,3.0,3.0,10,0.9367269112893281,93.67,High,94.303,61,12,15,4
7704,537,0,4728,12.9817617,77.6045183,6.0,26.0,3.0,1.0,13,0.9276417264696607,92.76,High,83.48400000000001,55,8,10,2
7704,4894,0,4728,12.9752696,77.6201123,2.0,31.0,3.0,6.0,13,0.9351880608950931,93.52,High,84.16799999999999,55,8,10,2
7704,284,0,4728,12.9783018,77.6429548,7.0,29.0,3.0,4.0,13,0.5852183484222127,58.52,Medium,52.668000000000006,36,4,4,1
7704,4894,0,432,13.0421078,77.515141,2.0,31.0,12.0,6.0,52,0.9914759159895452,99.15,High,89.23500000000001,58,12,15,4
7704,4894,0,4728,13.0446846,77.5906536,4.0,5.0,3.0,1.0,10,0.9965267622956746,99.65,High,89.685,58,12,15,4
7704,4894,0,4728,12.9531858,77.5418331,8.0,24.0,2.0,5.0,8,0.9710914130033433,97.11,High,87.399,57,12,15,4
7704,4894,0,269,12.9888472,77.6520017,11.0,15.0,1.0,0.0,3,0.9255844630190051,92.56,High,83.304,54,8,10,2
467,480,1,4728,12.91427815,77.61741195,23.0,23.0,2.0,4.0,8,0.5526906207667154,55.27,Medium,59.743,40,4,4,1
7704,4894,1,4728,12.9414237,77.5975231,21.0,30.0,3.0,5.0,13,0.044641475762414,4.46,Low,14.014,13,2,2,0
7704,4894,0,318,13.0434964,77.6054589,23.0,23.0,12.0,5.0,51,0.9942305355659731,99.42,High,89.47800000000001,58,12,15,4
7704,4894,0,413,13.1140117,77.6062667,23.0,18.0,12.0,0.0,51,0.9891207175518311,98.91,High,89.019,58,12,15,4
7704,170,0,318,13.0456453,77.5912593,5.0,5.0,12.0,1.0,49,0.9896180610635283,98.96,High,89.064,58,12,15,4
7704,365,0,4728,13.1067566,77.6006731,2.0,29.0,2.0,3.0,9,0.975442840449487,97.54,High,87.786,57,12,15,4
7704,4894,0,4728,12.9884183,77.47331,23.0,26.0,3.0,1.0,13,0.21776165598669167,21.78,Low,19.602,16,2,2,0
7704,4894,0,4728,12.9680124,77.5924224,1.0,5.0,4.0,4.0,14,0.9564631761203308,95.65,High,86.08500000000001,56,12,15,4
7704,4894,0,432,12.9365506,77.5186746,6.0,21.0,11.0,1.0,47,0.9480736161263175,94.81,High,85.32900000000001,56,12,15,4
7704,4894,0,623,12.9590142,77.5553685,21.0,28.0,12.0,3.0,52,0.9527156372869496,95.27,High,85.743,56,12,15,4
7704,4894,0,4728,12.8970624,77.5999432,21.0,3.0,4.0,2.0,14,0.9860879290553279,98.61,High,88.749,58,12,15,4
7704,4894,0,623,12.9677167,77.5879114,5.0,1.0,12.0,4.0,48,0.9664692529505097,96.65,High,86.98500000000001,57,12,15,4
7704,4894,0,623,12.9572533,77.5515533,19.0,21.0,12.0,3.0,51,0.9846338795647124,98.46,High,88.61399999999999,58,12,15,4
7704,4894,0,4728,12.9381961,77.5221042,19.0,19.0,2.0,0.0,8,0.9769398463835622,97.69,High,87.921,57,12,15,4
7704,365,0,318,13.0059006,77.636093,9.0,18.0,1.0,3.0,3,0.20332965132162759,20.33,Low,18.297,15,2,2,0
7704,4894,0,4728,13.1557145,77.6225084,4.0,23.0,12.0,5.0,51,0.9869714090862934,98.7,High,88.83,58,12,15,4
7704,638,0,4728,13.0007357,77.6766756,22.0,25.0,3.0,0.0,13,0.8588695981291257,85.89,High,77.301,51,8,10,2
7704,4894,0,413,13.025155,77.5853733,22.0,4.0,1.0,3.0,1,0.9601586079449356,96.02,High,86.41799999999999,56,12,15,4
7704,458,0,4728,12.9613179,77.6318647,7.0,9.0,3.0,5.0,10,0.09388400675666568,9.39,Low,8.451,10,2,2,0
7704,170,0,318,13.0344236,77.6284747,19.0,11.0,12.0,0.0,50,0.8213471792223141,82.13,High,73.917,49,8,10,2
7704,4894,0,432,12.9411064,77.5249523,19.0,29.0,12.0,4.0,52,0.9627964806432705,96.28,High,86.652,56,12,15,4
7704,638,0,4728,12.8496684,77.5757614,23.0,30.0,3.0,5.0,13,0.12380041079078505,12.38,Low,11.142000000000001,11,2,2,0
7704,4894,0,190,13.0115572,77.6986768,6.0,24.0,12.0,6.0,51,0.01806425522729061,1.81,Low,1.629,5,2,2,0
7704,4894,0,413,13.0459483,77.5808312,22.0,10.0,1.0,2.0,2,0.9587798831789831,95.88,High,86.292,56,12,15,4
467,480,0,253,12.969499,77.7006104,21.0,11.0,12.0,0.0,50,0.9911758426025592,99.12,High,89.20800000000001,58,12,15,4
7704,4894,0,623,12.9580733,77.5739611,6.0,8.0,12.0,4.0,49,0.029084994061574047,2.91,Low,2.619,6,2,2,0
7704,4894,0,4728,12.9585228,77.5552284,6.0,29.0,3.0,4.0,13,0.9379655936175475,93.8,High,84.42,55,8,10,2
7704,638,0,269,12.9688954,77.6476712,21.0,26.0,12.0,1.0,52,0.748913459520348,74.89,Medium,67.401,45,8,10,2
7704,638,0,4728,13.0225731,77.5845867,2.0,24.0,1.0,2.0,4,0.9877073046711379,98.77,High,88.893,58,12,15,4
7704,4894,0,4728,12.9160679,77.6329851,6.0,29.0,3.0,4.0,13,0.9207824365909476,92.08,High,82.872,54,8,10,2
7704,4894,0,623,12.9590877,77.57209,4.0,12.0,1.0,4.0,2,0.04747236058208824,4.75,Low,4.275,7,2,2,0
7704,4894,0,4728,12.9691733,77.5905,23.0,5.0,2.0,0.0,6,0.8947204936535139,89.47,High,80.523,53,8,10,2
7704,4894,0,253,12.9273352,77.680075,6.0,18.0,11.0,5.0,46,0.9780074257089939,97.8,High,88.02,57,12,15,4
7704,170,0,358,13.0042309,77.5839751,2.0,6.0,12.0,2.0,49,0.967757734412496,96.78,High,87.102,57,12,15,4
467,480,0,318,13.0732666,77.5926118,3.0,12.0,1.0,4.0,2,0.9853281695061387,98.53,High,88.677,58,12,15,4
7704,4894,0,413,13.1148233,77.6066717,7.0,26.0,11.0,6.0,47,0.9866194522277109,98.66,High,88.794,58,12,15,4
7704,458,0,4728,13.1105663,77.5800726,5.0,26.0,3.0,1.0,13,0.011260017457663484,1.13,Low,1.017,5,2,2,0
7704,4894,0,4728,12.9963786,77.584919,5.0,2.0,2.0,4.0,5,0.9880715269632984,98.81,High,88.929,58,12,15,4
7704,284,0,4728,13.0272314,77.5779974,22.0,3.0,4.0,2.0,14,0.008960228919560923,0.9,Low,0.81,5,2,2,0
7704,4894,0,623,12.9932732,77.5714333,23.0,5.0,1.0,4.0,1,0.015374904780092707,1.54,Low,1.3860000000000001,5,2,2,0
7704,4894,0,269,12.9821285,77.6236031,7.0,18.0,11.0,5.0,46,0.8431608956243509,84.32,High,75.88799999999999,50,8,10,2
7704,4894,0,4728,12.99601,77.75823,1.0,9.0,3.0,5.0,10,0.00048210222042174367,0.05,Low,0.045000000000000005,5,2,2,0
7704,4894,0,233,12.919942,77.5624417,21.0,7.0,12.0,3.0,49,0.4504466404167437,45.04,Low,40.536,29,4,4,1
7704,4894,0,623,12.9586717,77.5931683,3.0,20.0,12.0,2.0,51,0.12718140334957345,12.72,Low,11.448,11,2,2,0
7704,4894,0,432,12.9890709,77.5072986,23.0,8.0,1.0,0.0,2,0.9733462954559466,97.33,High,87.597,57,12,15,4
7704,638,0,253,12.9835042,77.7542333,20.0,29.0,11.0,2.0,48,0.00491026704926224,0.49,Low,0.441,5,2,2,0
7704,365,0,623,12.9831508,77.5881278,18.0,15.0,12.0,4.0,50,0.789388387596072,78.94,Medium,71.046,47,8,10,2
7704,537,0,358,13.0062112,77.5837405,20.0,14.0,12.0,3.0,50,0.9714555168305401,97.15,High,87.435,57,12,15,4
7704,4894,0,4728,13.0191483,77.65442,11.0,5.0,3.0,1.0,10,0.9535621779558772,95.36,High,85.824,56,12,15,4
467,480,0,4728,12.9694578,77.7006343,21.0,2.0,2.0,4.0,5,0.9939608207351609,99.4,High,89.46000000000001,58,12,15,4
7704,458,0,4728,12.9907523,77.571665,6.0,6.0,4.0,5.0,14,0.028439036646083875,2.84,Low,2.556,6,2,2,0
7704,365,0,354,12.8922964,77.6379726,20.0,28.0,12.0,3.0,52,0.880058863545504,88.01,High,79.209,52,8,10,2
7704,4894,0,4728,12.8562547,77.6647587,17.0,9.0,1.0,1.0,2,0.045262097460812084,4.53,Low,4.077,7,2,2,0
7704,4894,0,623,12.9666565,77.5948157,5.0,21.0,12.0,3.0,51,0.9523396325111562,95.23,High,85.70700000000001,56,12,15,4
7704,480,1,4728,12.9773762,77.6086674,22.0,31.0,3.0,6.0,13,0.9135589144807563,91.36,High,92.224,60,12,15,4
7704,284,1,4728,12.9263752,77.5831396,19.0,28.0,3.0,3.0,13,0.02496517430718504,2.5,Low,12.25,12,2,2,0
7704,638,0,4728,12.9424905,77.7467855,10.0,9.0,3.0,5.0,10,0.013023544506489198,1.3,Low,1.1700000000000002,5,2,2,0
7704,4894,0,413,13.0296745,77.5871846,21.0,10.0,11.0,4.0,45,0.9723602328441058,97.24,High,87.51599999999999,57,12,15,4
7704,4894,0,4728,12.961388,77.7014929,18.0,6.0,4.0,5.0,14,0.9795261438817734,97.95,High,88.155,57,12,15,4
7704,365,0,4728,12.9773537,77.6271626,16.0,5.0,2.0,0.0,6,0.8154645480226166,81.55,High,73.395,49,8,10,2
7704,4894,1,4728,12.9579051,77.5672107,23.0,6.0,4.0,5.0,14,0.38824287311455086,38.82,Low,44.938,31,4,4,1
7704,4894,0,4728,12.9659918,77.6172264,6.0,26.0,2.0,0.0,9,0.22109513874603753,22.11,Low,19.899,16,2,2,0
7704,458,0,4728,12.8930609,77.5988319,7.0,5.0,4.0,4.0,14,0.9822194411147398,98.22,High,88.398,58,12,15,4
7704,4894,0,4728,12.9591872,77.7012264,21.0,8.0,2.0,3.0,6,0.9934682100678647,99.35,High,89.41499999999999,58,12,15,4
7704,638,0,623,12.974705,77.570679,22.0,9.0,12.0,5.0,49,0.010445927703291568,1.04,Low,0.936,5,2,2,0
7704,4894,0,358,13.0155673,77.5633378,2.0,2.0,12.0,5.0,48,0.9385740564651447,93.86,High,84.474,55,8,10,2
7704,537,0,4728,12.9764463,77.7398826,2.0,31.0,3.0,6.0,13,0.04888703035211468,4.89,Low,4.401,7,2,2,0
7704,4894,0,4728,13.0641223,77.5050987,20.0,21.0,2.0,2.0,8,0.015816154289412104,1.58,Low,1.4220000000000002,5,2,2,0
7704,4894,0,4728,13.021451,77.5314713,22.0,20.0,3.0,2.0,12,0.07536205364527432,7.54,Low,6.7860000000000005,9,2,2,0
7704,4894,0,623,12.9290681,77.6003272,0.0,19.0,12.0,1.0,51,0.8967808396912897,89.68,High,80.712,53,8,10,2
7704,4894,0,413,13.0403108,77.5185455,5.0,3.0,1.0,2.0,1,0.9842255694416191,98.42,High,88.578,58,12,15,4
7704,458,0,4728,12.9617463,77.6319548,7.0,7.0,3.0,3.0,10,0.09493928329010369,9.49,Low,8.541,10,2,2,0
7704,4894,0,4728,12.9879465,77.5770686,19.0,20.0,3.0,2.0,12,0.02323533021007794,2.32,Low,2.088,6,2,2,0
7704,4894,0,4728,13.0460949,77.6022145,3.0,28.0,2.0,2.0,9,0.9740505354656012,97.41,High,87.669,57,12,15,4
467,480,0,318,13.0394961,77.641552,19.0,30.0,12.0,5.0,52,0.9788105116292765,97.88,High,88.092,57,12,15,4
7704,458,0,354,12.8902332,77.5978429,0.0,19.0,1.0,4.0,3,0.9796681649159599,97.97,High,88.173,57,12,15,4
7704,4894,0,413,13.0485262,77.4979792,7.0,29.0,11.0,2.0,48,0.006790031567390908,0.68,Low,0.6120000000000001,5,2,2,0
7704,4894,0,623,12.9870264,77.5878455,19.0,31.0,12.0,6.0,52,0.9382933969146791,93.83,High,84.447,55,8,10,2
7704,4894,0,4728,12.8416294,77.6448425,6.0,14.0,12.0,3.0,50,0.11437854370853348,11.44,Low,10.296,11,2,2,0
7704,4894,0,4728,12.9978315,77.553247,9.0,7.0,4.0,6.0,14,0.9361064492184651,93.61,High,84.249,55,8,10,2
7704,638,0,4728,12.9165065,77.5721511,5.0,29.0,3.0,4.0,13,0.014611590183486067,1.46,Low,1.314,5,2,2,0
7704,136,0,4728,13.0447324,77.5828697,4.0,4.0,4.0,3.0,14,0.9925409863468144,99.25,High,89.325,58,12,15,4
7704,4894,0,432,12.9368014,77.519002,19.0,3.0,12.0,6.0,48,0.9628228883902603,96.28,High,86.652,56,12,15,4
